,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
164,165,Kohl's,"79,500",-9,"$19,974 ",-1.30%,$691.00 ,-13.70%,"$14,555 ","$2,265 ",,,,,,
165,166,Lear,"164,100",-19,"$19,810 ",-6.30%,$753.60 ,-34.50%,"$12,681 ","$4,913 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Southfield,MI,42.473368799999996,-83.2218731
166,167,Altria Group,"7,300",-5,"$19,796 ",0.90%,"($1,293.00)",-118.60%,"$49,271 ","$71,863 ","Food, Beverages &  Tobacco",Tobacco,Richmond,VA,37.540724600000004,-77.4360481
167,168,Performance Food Group,"18,000",8,"$19,744 ",12.10%,$166.80 ,-16.10%,"$4,654 ","$2,897 ",Wholesalers,Wholesalers: Food and Grocery,Richmond,VA,37.540724600000004,-77.4360481
168,169,Avnet,"15,500",-4,"$19,519 ",2.50%,$176.30 ,-,"$8,565 ","$2,506 ",Wholesalers,Wholesalers: Electronics and Office Equipment,Phoenix,AZ,33.4483771,-112.07403729999999
169,170,Synchrony Financial,"16,500",3,"$19,461 ",6.60%,"$3,747.00 ",34.30%,"$104,826 ","$9,871 ",Financials,Diversified Financials,Stamford,CT,41.0534302,-73.53873409999999
170,171,Genuine Parts,"55,000",-2,"$19,392 ",3.50%,$621.10 ,-23.40%,"$14,646 ","$9,789 ",Wholesalers,Wholesalers: Diversified,Atlanta,GA,33.7489954,-84.3879824
171,172,NextEra Energy,"14,800",12,"$19,204 ",14.80%,"$3,769.00 ",-43.20%,"$117,691 ","$117,655 ",Energy,Utilities: Gas and Electric,North Palm Beach,FL,26.879781899999998,-80.0533743
172,173,CarMax,"25,946",1,"$19,146 ",6.50%,$842.40 ,26.80%,"$18,718 ","$8,795 ",Retailing,"Automotive Retailing, Services",Richmond,VA,37.540724600000004,-77.4360481
173,174,Tenet Healthcare,"101,104",-2,"$18,479 ",0.90%,($232.00),-309.00%,"$23,351 ","$1,502 ",Health Care,Health Care: Medical Facilities,Dallas,TX,32.7766642,-96.7969879
174,175,Kimberly-Clark,"40,000",-4,"$18,450 ",-0.20%,"$2,157.00 ",53.00%,"$15,283 ","$43,663 ",Household Products,Household and Personal Products,Irving,TX,32.814017699999994,-96.9488945
175,176,Emerson Electric,"88,000",2,"$18,372 ",5.50%,"$2,306.00 ",4.70%,"$20,497 ","$29,154 ",Industrials,Industrial Machinery,St. Louis,MO,38.6270025,-90.1994042
176,177,WestRock,"51,100",13,"$18,289 ",12.30%,$862.90 ,-54.70%,"$30,157 ","$7,304 ",Materials,"Packaging, Containers",Atlanta,GA,33.7489954,-84.3879824
177,178,CDW,"9,900",13,"$18,032 ",11.00%,$736.80 ,14.60%,"$7,999 ","$13,316 ",Technology,Information Technology Services,Lincolnshire,IL,42.190024900000004,-87.90840390000001
178,179,Jones Lang LaSalle,"93,400",10,"$17,983 ",10.20%,$535.30 ,10.50%,"$13,673 ","$5,207 ",Financials,Real estate,Chicago,IL,41.8781136,-87.62979820000001
179,180,Sherwin-Williams,"61,111",-3,"$17,901 ",2.10%,"$1,541.30 ",39.00%,"$20,496 ","$42,186 ",Chemicals,Chemicals,Cleveland,OH,41.499320000000004,-81.6943605
180,181,Fluor,"53,349",-17,"$17,817 ",-7.00%,"($1,305.00)",-680.40%,"$7,884 ",$969 ,Engineering &  Construction,"Engineering, Construction",Irving,TX,32.814017699999994,-96.9488945
181,182,PayPal Holdings,"23,200",22,"$17,772 ",15.00%,"$2,459.00 ",19.50%,"$51,333 ","$112,299 ",Business Services,Financial Data Services,San Jose,CA,37.338208200000004,-121.88632859999998
